"","O3","vh","wind","humidity","temp","ibh","dpg","ibt","vis","doy"
"81",7,5630,4,44,39,1302,40,115,150,118
"82",9,5690,7,70,57,1292,-5,120,200,119
"85",8,5610,6,50,51,1404,42,125,120,121
"88",4,5420,7,69,35,5000,41,-6,200,124
"89",4,5540,5,54,35,5000,62,8,200,125
"90",9,5590,6,51,48,5000,44,56,300,126
"92",5,5550,7,63,41,5000,56,29,250,128
"93",10,5620,7,57,58,5000,27,87,120,129
"95",7,5580,7,78,46,5000,55,36,200,131
"97",4,5440,5,44,35,5000,24,3,80,133
"98",7,5480,7,51,46,2490,29,86,300,134
"100",4,5450,11,35,32,5000,36,8,300,136
"101",7,5660,6,35,47,5000,28,41,200,137
"102",11,5680,6,61,50,1144,30,120,120,138
"103",15,5760,4,50,65,547,1,194,100,139
"104",22,5790,4,57,66,413,10,209,120,140
"105",17,5720,5,68,69,610,46,176,60,141
"106",7,5660,6,58,59,3638,81,107,120,142
"107",10,5710,5,65,64,3848,45,138,100,143
"109",18,5750,7,73,49,1108,55,186,27,145
"112",9,5650,6,46,55,5000,49,33,150,148
"113",19,5730,5,61,66,1148,31,160,100,149
"114",21,5810,4,55,74,856,4,241,100,150
"115",29,5790,4,60,76,807,16,228,120,151
"116",16,5740,8,78,70,2040,46,175,150,152
"117",11,5690,4,71,67,314,60,150,120,154
"120",16,5730,6,74,68,360,23,169,120,158
"121",22,5730,3,78,69,1568,32,198,70,159
"124",33,5880,3,80,80,436,0,302,40,162
"125",25,5890,6,88,84,774,6,300,20,163
"127",18,5820,6,63,80,1991,47,209,40,165
"130",12,5710,7,63,66,3005,58,151,80,169
"132",16,5740,5,53,69,2125,64,150,100,172
"133",8,5690,9,62,62,3720,74,105,120,174
"136",20,5790,7,79,76,1958,70,214,40,177
"137",5,5750,3,76,65,3644,86,152,70,178
"138",5,5680,6,71,65,1368,75,147,100,179
"139",11,5720,3,66,63,3539,73,120,120,180
"141",19,5800,4,72,68,984,26,207,120,181
"142",17,5780,8,92,68,1804,56,200,70,182
"143",19,5740,6,71,69,3234,77,171,80,183
"144",16,5730,6,64,66,3441,67,161,100,184
"145",14,5760,6,68,70,1578,61,160,100,185
"146",10,5770,7,59,70,1850,76,160,120,186
"147",9,5690,8,67,64,2962,80,152,120,187
"150",2,5570,9,81,48,5000,57,49,140,190
"151",12,5690,5,63,59,5000,46,107,140,191
"153",17,5810,5,68,66,1148,43,194,140,193
"154",26,5830,4,71,74,898,-24,255,60,194
"155",27,5880,6,67,83,777,-1,281,30,195
"156",14,5860,3,64,78,1279,75,220,17,196
"157",11,5830,6,64,75,1046,69,204,80,197
"158",23,5870,4,69,84,1167,50,235,60,198
"159",26,5860,3,77,81,987,45,243,100,199
"160",21,5800,3,61,79,1144,57,218,120,200
"161",15,5800,4,69,79,977,60,215,150,201
"162",20,5770,5,64,65,770,26,242,120,202
"163",15,5860,4,33,81,629,-11,302,140,203
"164",18,5870,7,38,84,337,-14,321,140,204
"165",26,5870,4,54,83,590,26,295,120,205
"167",13,5880,5,43,90,580,9,307,80,207
"168",30,5870,7,55,93,646,25,318,140,208
"170",15,5830,5,63,72,823,52,236,150,210
"172",16,5820,8,64,70,2972,52,180,120,212
"173",19,5860,6,68,78,2752,41,211,140,213
"174",23,5870,3,76,87,1377,37,258,100,214
"177",33,5890,5,65,91,508,29,296,100,217
"178",24,5910,4,73,88,1204,56,266,100,219
"179",17,5900,5,69,83,2414,63,247,60,220
"181",14,5830,3,63,79,2326,64,218,70,222
"183",17,5830,6,82,81,2818,58,221,80,224
"185",19,5830,4,74,78,2746,61,208,120,227
"186",20,5830,5,69,75,2493,55,225,120,228
"187",25,5840,7,72,82,1528,42,233,100,229
"188",28,5870,6,73,84,111,40,256,60,230
"190",23,5860,3,80,80,1289,32,240,40,233
"191",26,5900,3,73,80,984,35,260,70,234
"192",14,5890,4,71,84,836,28,275,80,235
"193",13,5880,4,78,84,826,27,263,80,236
"194",26,5890,6,80,81,1105,39,234,80,237
"195",22,5870,8,74,85,1023,46,251,80,238
"196",14,5820,6,63,73,2956,46,196,120,241
"197",13,5780,6,57,72,2988,56,187,150,241
"198",9,5770,3,55,68,4291,60,168,200,242
"199",12,5790,4,65,65,3330,59,148,150,243
"200",14,5840,7,65,79,1233,30,214,100,249
"201",24,5910,5,72,81,1069,28,235,80,251
"202",19,5890,5,79,80,984,57,230,70,252
"203",16,5870,6,62,76,1653,71,204,60,253
"204",7,5780,7,65,59,3930,68,151,150,254
"205",2,5730,5,77,55,5000,73,109,200,255
"206",4,5780,7,70,66,5000,45,107,200,256
"208",12,5760,5,58,62,5000,52,99,250,258
"210",15,5730,5,77,74,1545,43,187,70,260
"211",17,5790,4,57,74,994,44,209,300,261
"212",13,5750,3,67,70,1125,55,200,150,262
"213",20,5880,3,73,77,636,16,233,300,263
"214",22,5890,7,70,83,748,32,250,30,264
"215",24,5880,4,73,81,692,44,254,100,265
"216",26,5870,7,73,73,807,39,260,100,266
"219",27,5930,3,68,92,393,6,332,4,269
"220",38,5950,5,62,92,557,0,326,70,270
"221",23,5950,8,61,93,620,27,298,30,271
"222",19,5900,5,71,93,1404,33,293,70,271
"223",19,5890,8,77,86,898,21,270,60,272
"225",28,5840,5,67,81,528,17,260,50,274
"226",10,5800,6,74,78,2818,26,226,70,275
"227",14,5760,7,65,73,3247,10,196,140,276
"228",26,5810,6,82,80,895,0,256,100,277
"229",17,5850,4,67,81,721,0,268,120,278
"231",14,5860,4,71,63,1965,13,161,50,282
"232",29,5830,5,77,72,1853,10,216,70,283
"233",18,5840,5,78,75,2342,7,219,40,284
"234",3,5800,7,72,55,5000,56,109,70,285
"235",9,5790,3,71,61,4028,35,128,140,287
"237",8,5810,5,76,71,3671,31,188,100,289
"238",23,5780,6,76,72,3795,31,194,70,291
"239",13,5800,6,73,75,3120,35,194,40,292
"240",7,5800,5,80,65,2667,17,175,100,294
"241",3,5780,9,73,61,5000,39,115,120,295
"242",5,5790,8,80,60,5000,36,94,120,296
"243",11,5770,5,75,64,308,25,204,140,297
"244",12,5750,4,68,61,2982,18,155,120,298
"245",5,5640,5,93,63,5000,30,115,70,299
"246",4,5640,7,57,62,5000,25,107,150,300
"247",5,5650,3,70,59,5000,38,87,200,301
"249",10,5760,6,66,59,3070,13,156,200,303
"250",17,5840,4,73,72,830,0,223,70,304
"252",30,5890,5,80,75,1049,-10,261,50,306
"253",18,5890,4,73,71,511,-39,288,17,307
"255",7,5890,6,19,73,5000,-34,208,250,309
"256",15,5850,3,73,78,377,-3,260,200,310
"257",12,5830,5,76,73,862,27,231,2,311
"259",28,5860,5,86,73,492,-2,279,7,313
"264",10,5730,4,84,64,5000,23,125,80,318
"266",9,5740,7,48,54,2191,-13,204,60,320
"267",12,5710,8,75,62,3448,12,148,60,321
"268",7,5690,6,74,56,5000,13,94,80,322
"270",6,5760,4,75,58,2719,25,138,50,324
"271",13,5820,5,71,48,1899,21,167,40,325
"272",5,5790,3,35,54,5000,-41,114,40,326
"273",3,5760,5,23,57,5000,-21,105,300,327
"274",7,5800,6,19,60,5000,-19,124,200,328
"275",8,5810,7,59,61,2385,10,158,150,329
"276",10,5750,4,60,63,1938,0,170,100,330
"277",12,5840,0,38,65,590,-11,211,100,331
"278",6,5920,3,22,71,328,-40,270,150,333
"279",5,5860,7,19,70,5000,-29,165,300,335
"280",20,5840,0,45,68,597,-22,231,30,337
"281",14,5810,2,47,69,469,-4,221,50,339
"282",16,5770,2,73,59,1541,18,173,20,340
"284",3,5500,9,56,39,5000,15,54,120,342
"286",1,5700,3,71,46,5000,54,60,200,344
"287",5,5810,5,59,54,5000,-28,120,70,345
"288",4,5860,0,25,60,5000,-38,175,140,346
"289",11,5900,0,24,62,5000,-36,156,150,347
"290",6,5850,5,41,65,2014,-20,211,200,348
"294",12,5770,2,81,62,1210,-17,199,30,352
"296",7,5780,5,76,63,875,-15,205,0,354
"297",14,5790,5,66,60,1601,7,167,30,355
"298",4,5750,6,58,58,5000,59,55,60,356
"300",3,5760,0,19,36,5000,-52,50,100,358
"301",3,5770,4,19,44,2280,-54,132,250,359
"302",3,5810,2,19,53,2047,-43,175,150,360
"303",3,5810,2,19,52,5000,-69,136,200,361
"304",3,5870,3,19,53,3720,-50,163,200,362
"305",3,5830,2,27,58,311,-24,211,200,363
"306",6,5760,0,64,55,2536,28,136,80,364
"307",6,5680,0,52,50,1154,-22,164,60,365
"308",5,5780,4,19,48,2933,-40,155,300,366
"309",3,5810,3,19,51,3064,-33,171,200,367
"311",7,5680,0,58,40,5000,2,61,50,369
"312",5,5750,0,26,44,111,-52,201,40,370
"313",5,5790,5,19,49,5000,-48,126,70,371
"314",4,5770,3,19,53,5000,-37,131,150,372
"315",3,5750,0,19,53,5000,-26,106,150,373
"316",2,5720,0,19,53,5000,-31,108,70,374
"317",5,5760,3,19,55,948,-48,215,200,375
"318",3,5780,0,19,51,5000,-50,105,120,376
"319",4,5660,4,19,54,5000,-22,92,150,377
"320",4,5610,2,58,48,3687,-10,83,150,378
"321",6,5640,0,51,53,5000,0,68,60,379
"322",6,5680,3,52,49,5000,-19,76,70,380
"323",3,5650,5,19,48,5000,-28,74,150,381
"324",4,5710,4,19,51,5000,-25,91,300,382
"326",8,5630,4,50,50,2851,-5,100,70,384
"327",2,5730,3,53,51,111,-14,225,200,387
"328",3,5690,3,23,51,5000,-36,107,70,388
"329",5,5650,3,61,50,3704,18,83,40,389
"330",1,5550,4,85,39,5000,8,44,100,390
